image_path,plate_text
images/086f4d67_20250715_131025_29C-692.22.jpg,29C-692.22
images/0871f45e_20250715_091715_88A.jpg,88A
images/08926237_20250715_115342_29H.jpg,29H
images/08bc74ca_20250715_154625_90A-117.71.jpg,90A-117.71
images/08c3e0e1_20250715_141401_324.17.jpg,324.17
images/08cc8589_20250715_090207_30H-646.34.jpg,30H-646.34
images/08e3444d_20250715_060145_34A-390.91.jpg,34A-390.91
images/08e3d853_20250715_090549_29-E1.jpg,29-E1
images/08e3d853_20250715_090549_59215.jpg,59215
images/08e4f441_20250715_202326_30M-296.92.jpg,30M-296.92
images/08ed70db_20250715_114547_30M-186.96.jpg,30M-186.96
images/08f642b1_20250715_084353_780.55.jpg,780.55
images/08fd114a_20250715_140431_29-C1.jpg,29-C1
images/0902b15c_20250715_104528_530.10.jpg,530.10
images/0904c8c2_20250715_075357_30G-734.99.jpg,30G-734.99
images/090a5200_20250715_163639_30L-268.11.jpg,30L-268.11
images/090ac066_20250715_122429_51G.jpg,51G
images/0912c99f_20250715_161713_180.76.jpg,180.76
images/093b0f5f_20250715_142554_29-AA.jpg,29-AA
images/09482389_20250715_081853_13750.jpg,13750
images/0955563a_20250715_163152_35341.jpg,35341
images/09659e6c_20250715_095209_29-D2.jpg,29-D2
images/096be54d_20250715_180744_83426.jpg,83426
images/09785c59_20250715_075029_912.31.jpg,912.31
images/097f9a0a_20250715_185008_30H-063.58.jpg,30H-063.58
images/09892356_20250715_075328_29-H1.jpg,29-H1
images/0989537c_20250715_195922_18-F1.jpg,18-F1
images/0998dad5_20250715_110037_30G-063.79.jpg,30G-063.79
images/09cf8546_20250715_081300_98-B1.jpg,98-B1
images/09e82d48_20250715_144056_500.63.jpg,500.63
images/09f8a833_20250715_060550_17C-051.31.jpg,17C-051.31
images/0a0b7f0c_20250715_182935_30E.jpg,30E
images/0a2944b6_20250715_094357_15F_008.87.jpg,15F-008.87
images/0a2ccfad_20250715_152535_862.63.jpg,862.63
images/0a376e8f_20250715_161804_30H-138.21.jpg,30H-138.21
images/0a40ed25_20250715_113222_30E-420.12.jpg,30E-420.12
images/0a414764_20250715_080648_29K-047.52.jpg,29K-047.52
images/0a47498a_20250715_140459_46360.jpg,46360
images/0a572eed_20250715_103545_30K-013.41.jpg,30K-013.41
