image_path,plate_text
images/97dd6a2b_20250715_140726_017.85.jpg,017.85
images/4203d832_20250715_194720_30H-466.14.jpg,30H-466.14
images/3f10556e_20250715_135739_30L.jpg,30L
images/4576e25c_20250715_132716_29H.jpg,29H
images/3f50b725_20250715_131133_163.03.jpg,163.03
images/9d9b7d76_20250715_111154_29E-107.20.jpg,29E-107.20
images/9de3ec8f_20250715_074159_29A.jpg,29A
images/b18da6e5_20250715_092323_30K-426.11.jpg,30K-426.11
images/9c624ef2_20250715_182823_373.89.jpg,373.89
images/9cc4944d_20250715_141454_30M-322.99.jpg,30M-322.99
images/b637e3fa_20250715_182850_30K-314.35.jpg,30K-314.35
images/09c7b649_20250715_091853_068.63.jpg,068.63
images/32d4473e_20250715_160655_163.71.jpg,163.71
images/e5415c4e_20250715_094054_362.77.jpg,362.77
images/08d2239d_20250715_150323_17A-483.59.jpg,17A-483.59
images/4bee63bf_20250715_085248_713.64.jpg,713.64
images/3c99ac6c_20250715_201024_044.57.jpg,044.57
images/37710c49_20250715_150346_24A-255.32.jpg,24A-255.32
images/50032205_20250715_104304_30H-097.70.jpg,30H-097.70
images/35796227_20250715_162535_305.08.jpg,305.08
images/4192a418_20250715_171420_30F.jpg,30F
images/3c939c85_20250715_161700_30L-375.70.jpg,30L-375.70
images/9bed8276_20250715_095714_29E.jpg,29E
images/99cf33c7_20250715_121105_454.61.jpg,454.61
images/64143cfc_20250715_115559_30E.jpg,30E
images/e2e80771_20250715_140021_002.26.jpg,002.26
images/9d29bc62_20250715_200233_057.42.jpg,057.42
images/4c114a51_20250715_110039_30G-063.79.jpg,30G-063.79
images/9e46a35b_20250715_193816_423.22.jpg,423.22
images/41accd1a_20250715_155148_645.25.jpg,645.25
images/5ea75961_20250715_082711_672.23.jpg,672.23
images/b6e4b1d1_20250715_074005_209.22.jpg,209.22
images/8af96005_20250715_082148_30K.jpg,30K
images/51164bc6_20250715_104243_30L-544.42.jpg,30L-544.42
images/5a18b707_20250715_153142_30A.jpg,30A
images/b28ed5d5_20250715_171138_009.10.jpg,009.10
images/96a85ade_20250715_190230_72A-68.jpg,72A-68
images/8ae1467f_20250715_075657_855.46.jpg,855.46
images/47f6ca2a_20250715_121608_30K-994.83.jpg,30K-994.83
images/9c73b5b4_20250715_145432_30K-306.85.jpg,30K-306.85
images/3c41e912_20250715_162243_29C.jpg,29C
images/38b77eb3_20250715_114147_29E-092.52.jpg,29E-092.52
images/986a1cbe_20250715_144154_30L-019.00.jpg,30L-019.00
images/3ce715a7_20250715_141826_29E.jpg,29E
images/9b478b8e_20250715_155109_29E-094.57.jpg,29E-094.57
images/3dbaae2b_20250715_150149_30K.jpg,30K
images/e59765a2_20250715_195153_199.71.jpg,199.71
images/8d3725c4_20250715_162825_783.91.jpg,783.91
images/b270a59e_20250715_100946_371.60.jpg,371.60
images/4ee19655_20250715_123821_200.79.jpg,200.79
images/365b97c9_20250715_132422_010.36.jpg,010.36
images/3e0973aa_20250715_082734_132.52.jpg,132.52
images/3ce55359_20250715_202330_842.94.jpg,842.94
images/9c760bcf_20250715_084616_873.27.jpg,873.27
images/50885c97_20250715_095456_29K-061.00.jpg,29K-061.00
images/8a8c0fb7_20250715_080112_29E-108.03.jpg,29E-108.03
images/3ced0044_20250715_082412_12A.jpg,12A
images/3d7a5cf3_20250715_142555_222.67.jpg,222.67
images/b313836f_20250715_143257_30G-565.32.jpg,30G-565.32
images/85b5d08f_20250715_113543_420.86.jpg,420.86
images/0f30118b_20250715_085825_99H-026.08.jpg,99H-026.08
images/e67ae4d9_20250715_192530_045.30.jpg,045.30
images/57eab390_20250715_134558_30A.jpg,30A
images/8b820844_20250715_120011_30K-039.07.jpg,30K-039.07
images/58520c69_20250715_164658_30E.jpg,30E
images/e4db772c_20250715_110442_29C-979.88.jpg,29C-979.88
images/58175046_20250715_120001_30K-039.07.jpg,30K-039.07
images/5d476217_20250715_081837_814.10.jpg,814.10
images/85f34120_20250715_082146_419.32.jpg,419.32
images/9bce7d67_20250715_091259_007.43.jpg,007.43
images/9a319674_20250715_091610_29K-060.59.jpg,29K-060.59
images/4cdc3791_20250715_111431_29K-027.98.jpg,29K-027.98
images/e91f67ec_20250715_084038_29C-428.80.jpg,29C-428.80
images/34f61683_20250715_142807_89A.jpg,89A
images/4d725be9_20250715_121952_783.05.jpg,783.05
images/8befc26f_20250715_201112_34A-488.64.jpg,34A-488.64
images/368efedf_20250715_091347_30F-163.88.jpg,30F-163.88
images/972e9576_20250715_184150_30E.jpg,30E
images/e63dcc23_20250715_083948_19A-491.95.jpg,19A-491.95
images/3f6b2c0e_20250715_074928_30M-005.82.jpg,30M-005.82
